FID,the_geom,code,timestamp,precip_quantity,temp_avg,temp_max,temp_min,temp_grass_pt100_avg,temp_soil_avg,temp_soil_avg_5cm,temp_soil_avg_10cm,temp_soil_avg_20cm,temp_soil_avg_50cm,wind_speed_10m,wind_speed_avg_30m,wind_gusts_speed,humidity_rel_shelter_avg,pressure,sun_duration,short_wave_from_sky_avg,sun_int_avg,qc_flags
aws_1day.fid--2b7d03cc_194e163ff4d_-21e3,POINT (50.797 4.358),6447,2021-12-08T00:00:00,0.06,5.01,6.66,2.69,3.53,3.16,3.41,3.85,4.41,5.79,,5.27,14.54,83.58,985.23,,28.09,,"{""validated"":{""PRECIP_QUANTITY"":true,""TEMP_AVG"":true,""TEMP_MAX"":true,""TEMP_MIN"":true,""TEMP_GRASS_PT100_AVG"":true,""TEMP_SOIL_AVG"":true,""TEMP_SOIL_AVG_5CM"":true,""TEMP_SOIL_AVG_10CM"":true,""TEMP_SOIL_AVG_20CM"":true,""TEMP_SOIL_AVG_50CM"":true,""WIND_SPEED_10M"":false,""WIND_SPEED_AVG_30M"":true,""WIND_GUSTS_SPEED"":true,""HUMIDITY_REL_SHELTER_AVG"":false,""PRESSURE"":true,""SUN_DURATION"":false,""SHORT_WAVE_FROM_SKY_AVG"":false,""SUN_INT_AVG"":false}}"
aws_1day.fid--2b7d03cc_194e163ff4d_-21e2,POINT (50.797 4.358),6447,2021-12-10T00:00:00,17.09,1.7,4.33,0.24,1.16,1.41,1.84,2.47,3.45,5.5,,3.96,16.4,97.68,982.69,,7.88,,"{""validated"":{""PRECIP_QUANTITY"":true,""TEMP_AVG"":true,""TEMP_MAX"":true,""TEMP_MIN"":true,""TEMP_GRASS_PT100_AVG"":true,""TEMP_SOIL_AVG"":true,""TEMP_SOIL_AVG_5CM"":true,""TEMP_SOIL_AVG_10CM"":true,""TEMP_SOIL_AVG_20CM"":true,""TEMP_SOIL_AVG_50CM"":true,""WIND_SPEED_10M"":false,""WIND_SPEED_AVG_30M"":true,""WIND_GUSTS_SPEED"":true,""HUMIDITY_REL_SHELTER_AVG"":false,""PRESSURE"":true,""SUN_DURATION"":false,""SHORT_WAVE_FROM_SKY_AVG"":false,""SUN_INT_AVG"":false}}"
aws_1day.fid--2b7d03cc_194e163ff4d_-21e1,POINT (50.797 4.358),6447,2021-12-11T00:00:00,1.63,4.26,6.42,1.85,3.16,2.77,2.69,2.78,3.23,5.12,,2.84,9.14,96.14,1004.21,,36.7,,"{""validated"":{""PRECIP_QUANTITY"":true,""TEMP_AVG"":true,""TEMP_MAX"":true,""TEMP_MIN"":true,""TEMP_GRASS_PT100_AVG"":true,""TEMP_SOIL_AVG"":true,""TEMP_SOIL_AVG_5CM"":true,""TEMP_SOIL_AVG_10CM"":true,""TEMP_SOIL_AVG_20CM"":true,""TEMP_SOIL_AVG_50CM"":true,""WIND_SPEED_10M"":false,""WIND_SPEED_AVG_30M"":true,""WIND_GUSTS_SPEED"":true,""HUMIDITY_REL_SHELTER_AVG"":false,""PRESSURE"":true,""SUN_DURATION"":false,""SHORT_WAVE_FROM_SKY_AVG"":false,""SUN_INT_AVG"":false}}"
aws_1day.fid--2b7d03cc_194e163ff4d_-21e0,POINT (50.797 4.358),6447,2020-12-22T00:00:00,4.75,12.46,13.58,11.45,11.57,11.37,10.87,10.22,9.24,8.1,,4.43,17.51,95.86,1001.02,,14.45,,"{""validated"":{""PRECIP_QUANTITY"":true,""TEMP_AVG"":true,""TEMP_MAX"":true,""TEMP_MIN"":true,""TEMP_GRASS_PT100_AVG"":true,""TEMP_SOIL_AVG"":true,""TEMP_SOIL_AVG_5CM"":true,""TEMP_SOIL_AVG_10CM"":true,""TEMP_SOIL_AVG_20CM"":true,""TEMP_SOIL_AVG_50CM"":true,""WIND_SPEED_10M"":false,""WIND_SPEED_AVG_30M"":true,""WIND_GUSTS_SPEED"":true,""HUMIDITY_REL_SHELTER_AVG"":false,""PRESSURE"":true,""SUN_DURATION"":false,""SHORT_WAVE_FROM_SKY_AVG"":false,""SUN_INT_AVG"":false}}"
aws_1day.fid--2b7d03cc_194e163ff4d_-21df,POINT (50.797 4.358),6447,2021-12-13T00:00:00,0,8.62,9.43,6.82,8.05,7.61,7.45,7.2,6.76,6.27,,3.05,7.22,93.65,1014.72,,8.67,,"{""validated"":{""PRECIP_QUANTITY"":true,""TEMP_AVG"":true,""TEMP_MAX"":true,""TEMP_MIN"":true,""TEMP_GRASS_PT100_AVG"":true,""TEMP_SOIL_AVG"":true,""TEMP_SOIL_AVG_5CM"":true,""TEMP_SOIL_AVG_10CM"":true,""TEMP_SOIL_AVG_20CM"":true,""TEMP_SOIL_AVG_50CM"":true,""WIND_SPEED_10M"":false,""WIND_SPEED_AVG_30M"":true,""WIND_GUSTS_SPEED"":true,""HUMIDITY_REL_SHELTER_AVG"":false,""PRESSURE"":true,""SUN_DURATION"":false,""SHORT_WAVE_FROM_SKY_AVG"":false,""SUN_INT_AVG"":false}}"
aws_1day.fid--2b7d03cc_194e163ff4d_-21de,POINT (50.797 4.358),6447,2021-12-12T00:00:00,2.77,8.06,9.93,5.48,7.68,6.77,6.23,5.6,4.97,5.33,,4.3,10.76,98.91,1010.93,,6.1,,"{""validated"":{""PRECIP_QUANTITY"":true,""TEMP_AVG"":true,""TEMP_MAX"":true,""TEMP_MIN"":true,""TEMP_GRASS_PT100_AVG"":true,""TEMP_SOIL_AVG"":true,""TEMP_SOIL_AVG_5CM"":true,""TEMP_SOIL_AVG_10CM"":true,""TEMP_SOIL_AVG_20CM"":true,""TEMP_SOIL_AVG_50CM"":true,""WIND_SPEED_10M"":false,""WIND_SPEED_AVG_30M"":true,""WIND_GUSTS_SPEED"":true,""HUMIDITY_REL_SHELTER_AVG"":false,""PRESSURE"":true,""SUN_DURATION"":false,""SHORT_WAVE_FROM_SKY_AVG"":false,""SUN_INT_AVG"":false}}"
aws_1day.fid--2b7d03cc_194e163ff4d_-21dd,POINT (50.797 4.358),6447,2021-12-07T00:00:00,0.74,4.12,6.68,1.32,2.94,2.75,2.66,2.93,3.66,5.83,,5.52,18.61,90.44,991.62,,32.95,,"{""validated"":{""PRECIP_QUANTITY"":true,""TEMP_AVG"":true,""TEMP_MAX"":true,""TEMP_MIN"":true,""TEMP_GRASS_PT100_AVG"":true,""TEMP_SOIL_AVG"":true,""TEMP_SOIL_AVG_5CM"":true,""TEMP_SOIL_AVG_10CM"":true,""TEMP_SOIL_AVG_20CM"":true,""TEMP_SOIL_AVG_50CM"":true,""WIND_SPEED_10M"":false,""WIND_SPEED_AVG_30M"":true,""WIND_GUSTS_SPEED"":true,""HUMIDITY_REL_SHELTER_AVG"":false,""PRESSURE"":true,""SUN_DURATION"":false,""SHORT_WAVE_FROM_SKY_AVG"":false,""SUN_INT_AVG"":false}}"
aws_1day.fid--2b7d03cc_194e163ff4d_-21dc,POINT (50.797 4.358),6447,2021-12-09T00:00:00,0.4,3.5,5.54,2.09,1.99,2.02,2.26,2.72,3.59,5.68,,4.38,11.4,93.29,990.55,,11.51,,"{""validated"":{""PRECIP_QUANTITY"":true,""TEMP_AVG"":true,""TEMP_MAX"":true,""TEMP_MIN"":true,""TEMP_GRASS_PT100_AVG"":true,""TEMP_SOIL_AVG"":true,""TEMP_SOIL_AVG_5CM"":true,""TEMP_SOIL_AVG_10CM"":true,""TEMP_SOIL_AVG_20CM"":true,""TEMP_SOIL_AVG_50CM"":true,""WIND_SPEED_10M"":false,""WIND_SPEED_AVG_30M"":true,""WIND_GUSTS_SPEED"":true,""HUMIDITY_REL_SHELTER_AVG"":false,""PRESSURE"":true,""SUN_DURATION"":false,""SHORT_WAVE_FROM_SKY_AVG"":false,""SUN_INT_AVG"":false}}"
aws_1day.fid--2b7d03cc_194e163ff4d_-21db,POINT (50.797 4.358),6447,2021-12-02T00:00:00,12.83,1.87,4.88,0.41,1.05,1.47,2.4,3.57,5.13,7.29,,2.61,9.89,99.07,994.07,,15.28,,"{""validated"":{""PRECIP_QUANTITY"":true,""TEMP_AVG"":true,""TEMP_MAX"":true,""TEMP_MIN"":true,""TEMP_GRASS_PT100_AVG"":true,""TEMP_SOIL_AVG"":true,""TEMP_SOIL_AVG_5CM"":true,""TEMP_SOIL_AVG_10CM"":true,""TEMP_SOIL_AVG_20CM"":true,""TEMP_SOIL_AVG_50CM"":true,""WIND_SPEED_10M"":false,""WIND_SPEED_AVG_30M"":true,""WIND_GUSTS_SPEED"":true,""HUMIDITY_REL_SHELTER_AVG"":false,""PRESSURE"":true,""SUN_DURATION"":false,""SHORT_WAVE_FROM_SKY_AVG"":false,""SUN_INT_AVG"":false}}"
aws_1day.fid--2b7d03cc_194e163ff4d_-21da,POINT (50.797 4.358),6447,2021-12-06T00:00:00,9.48,2.5,5.23,-0.27,2.52,2.66,2.99,3.54,4.37,6.14,,3.39,13.79,94.06,998.45,,37.7,,"{""validated"":{""PRECIP_QUANTITY"":true,""TEMP_AVG"":true,""TEMP_MAX"":true,""TEMP_MIN"":true,""TEMP_GRASS_PT100_AVG"":true,""TEMP_SOIL_AVG"":true,""TEMP_SOIL_AVG_5CM"":true,""TEMP_SOIL_AVG_10CM"":true,""TEMP_SOIL_AVG_20CM"":true,""TEMP_SOIL_AVG_50CM"":true,""WIND_SPEED_10M"":false,""WIND_SPEED_AVG_30M"":true,""WIND_GUSTS_SPEED"":true,""HUMIDITY_REL_SHELTER_AVG"":false,""PRESSURE"":true,""SUN_DURATION"":false,""SHORT_WAVE_FROM_SKY_AVG"":false,""SUN_INT_AVG"":false}}"
aws_1day.fid--2b7d03cc_194e163ff4d_-21d9,POINT (50.797 4.358),6447,2021-11-30T00:00:00,6.06,7.38,9.73,3.03,7.03,6.37,5.76,5.31,5.1,6.41,,5.2,15.71,97.47,997.92,,3.31,,"{""validated"":{""PRECIP_QUANTITY"":true,""TEMP_AVG"":true,""TEMP_MAX"":true,""TEMP_MIN"":true,""TEMP_GRASS_PT100_AVG"":true,""TEMP_SOIL_AVG"":true,""TEMP_SOIL_AVG_5CM"":true,""TEMP_SOIL_AVG_10CM"":true,""TEMP_SOIL_AVG_20CM"":true,""TEMP_SOIL_AVG_50CM"":true,""WIND_SPEED_10M"":false,""WIND_SPEED_AVG_30M"":true,""WIND_GUSTS_SPEED"":true,""HUMIDITY_REL_SHELTER_AVG"":false,""PRESSURE"":true,""SUN_DURATION"":false,""SHORT_WAVE_FROM_SKY_AVG"":false,""SUN_INT_AVG"":false}}"
aws_1day.fid--2b7d03cc_194e163ff4d_-21d8,POINT (50.797 4.358),6447,2021-12-01T00:00:00,14.99,7.3,9.12,4.78,6.86,6.96,7.08,7.13,7.05,7.13,,5.64,18.79,94.43,985.49,,12.05,,"{""validated"":{""PRECIP_QUANTITY"":true,""TEMP_AVG"":true,""TEMP_MAX"":true,""TEMP_MIN"":true,""TEMP_GRASS_PT100_AVG"":true,""TEMP_SOIL_AVG"":true,""TEMP_SOIL_AVG_5CM"":true,""TEMP_SOIL_AVG_10CM"":true,""TEMP_SOIL_AVG_20CM"":true,""TEMP_SOIL_AVG_50CM"":true,""WIND_SPEED_10M"":false,""WIND_SPEED_AVG_30M"":true,""WIND_GUSTS_SPEED"":true,""HUMIDITY_REL_SHELTER_AVG"":false,""PRESSURE"":true,""SUN_DURATION"":false,""SHORT_WAVE_FROM_SKY_AVG"":false,""SUN_INT_AVG"":false}}"
aws_1day.fid--2b7d03cc_194e163ff4d_-21d7,POINT (50.797 4.358),6447,2020-12-25T00:00:00,0,3.16,5.56,1.14,1.12,2.44,3.03,4.09,5.63,8.18,,2.41,7.28,91.67,1013.06,,35.76,,"{""validated"":{""PRECIP_QUANTITY"":true,""TEMP_AVG"":true,""TEMP_MAX"":true,""TEMP_MIN"":true,""TEMP_GRASS_PT100_AVG"":true,""TEMP_SOIL_AVG"":true,""TEMP_SOIL_AVG_5CM"":true,""TEMP_SOIL_AVG_10CM"":true,""TEMP_SOIL_AVG_20CM"":true,""TEMP_SOIL_AVG_50CM"":true,""WIND_SPEED_10M"":false,""WIND_SPEED_AVG_30M"":true,""WIND_GUSTS_SPEED"":true,""HUMIDITY_REL_SHELTER_AVG"":false,""PRESSURE"":true,""SUN_DURATION"":false,""SHORT_WAVE_FROM_SKY_AVG"":false,""SUN_INT_AVG"":false}}"
aws_1day.fid--2b7d03cc_194e163ff4d_-21d6,POINT (50.797 4.358),6447,2021-12-03T00:00:00,0.47,2.66,4.03,0.52,2.23,2.28,2.43,2.81,3.71,6.37,,4.73,15.3,94.59,995.53,,18.07,,"{""validated"":{""PRECIP_QUANTITY"":true,""TEMP_AVG"":true,""TEMP_MAX"":true,""TEMP_MIN"":true,""TEMP_GRASS_PT100_AVG"":true,""TEMP_SOIL_AVG"":true,""TEMP_SOIL_AVG_5CM"":true,""TEMP_SOIL_AVG_10CM"":true,""TEMP_SOIL_AVG_20CM"":true,""TEMP_SOIL_AVG_50CM"":true,""WIND_SPEED_10M"":false,""WIND_SPEED_AVG_30M"":true,""WIND_GUSTS_SPEED"":true,""HUMIDITY_REL_SHELTER_AVG"":false,""PRESSURE"":true,""SUN_DURATION"":false,""SHORT_WAVE_FROM_SKY_AVG"":false,""SUN_INT_AVG"":false}}"
aws_1day.fid--2b7d03cc_194e163ff4d_-21d5,POINT (50.797 4.358),6447,2020-12-26T00:00:00,0.79,3.42,5.13,1.2,2.69,2.89,3.12,3.65,4.66,7.22,,5.48,20.07,91.6,1007.67,,18.56,,"{""validated"":{""PRECIP_QUANTITY"":true,""TEMP_AVG"":true,""TEMP_MAX"":true,""TEMP_MIN"":true,""TEMP_GRASS_PT100_AVG"":true,""TEMP_SOIL_AVG"":true,""TEMP_SOIL_AVG_5CM"":true,""TEMP_SOIL_AVG_10CM"":true,""TEMP_SOIL_AVG_20CM"":true,""TEMP_SOIL_AVG_50CM"":true,""WIND_SPEED_10M"":false,""WIND_SPEED_AVG_30M"":true,""WIND_GUSTS_SPEED"":true,""HUMIDITY_REL_SHELTER_AVG"":false,""PRESSURE"":true,""SUN_DURATION"":false,""SHORT_WAVE_FROM_SKY_AVG"":false,""SUN_INT_AVG"":false}}"
aws_1day.fid--2b7d03cc_194e163ff4d_-21d4,POINT (50.797 4.358),6447,2021-12-05T00:00:00,1.75,3.61,4.34,2.5,3.55,3.48,3.59,3.86,4.46,6.19,,2.72,13.03,96.05,990.67,,10.81,,"{""validated"":{""PRECIP_QUANTITY"":true,""TEMP_AVG"":true,""TEMP_MAX"":true,""TEMP_MIN"":true,""TEMP_GRASS_PT100_AVG"":true,""TEMP_SOIL_AVG"":true,""TEMP_SOIL_AVG_5CM"":true,""TEMP_SOIL_AVG_10CM"":true,""TEMP_SOIL_AVG_20CM"":true,""TEMP_SOIL_AVG_50CM"":true,""WIND_SPEED_10M"":false,""WIND_SPEED_AVG_30M"":true,""WIND_GUSTS_SPEED"":true,""HUMIDITY_REL_SHELTER_AVG"":false,""PRESSURE"":true,""SUN_DURATION"":false,""SHORT_WAVE_FROM_SKY_AVG"":false,""SUN_INT_AVG"":false}}"
aws_1day.fid--2b7d03cc_194e163ff4d_-21d3,POINT (50.797 4.358),6447,2021-12-04T00:00:00,7.01,4.44,5.85,3.6,3.58,3.68,3.9,4.24,4.73,6.2,,3.22,11.87,95.62,985.78,,7.22,,"{""validated"":{""PRECIP_QUANTITY"":true,""TEMP_AVG"":true,""TEMP_MAX"":true,""TEMP_MIN"":true,""TEMP_GRASS_PT100_AVG"":true,""TEMP_SOIL_AVG"":true,""TEMP_SOIL_AVG_5CM"":true,""TEMP_SOIL_AVG_10CM"":true,""TEMP_SOIL_AVG_20CM"":true,""TEMP_SOIL_AVG_50CM"":true,""WIND_SPEED_10M"":false,""WIND_SPEED_AVG_30M"":true,""WIND_GUSTS_SPEED"":true,""HUMIDITY_REL_SHELTER_AVG"":false,""PRESSURE"":true,""SUN_DURATION"":false,""SHORT_WAVE_FROM_SKY_AVG"":false,""SUN_INT_AVG"":false}}"
aws_1day.fid--2b7d03cc_194e163ff4d_-21d2,POINT (50.797 4.358),6447,2021-11-27T00:00:00,1.49,2.13,4.15,0.15,1.57,2.1,2.65,3.4,4.62,7.2,,2.53,7.33,97.02,977.71,,20.62,,"{""validated"":{""PRECIP_QUANTITY"":true,""TEMP_AVG"":true,""TEMP_MAX"":true,""TEMP_MIN"":true,""TEMP_GRASS_PT100_AVG"":true,""TEMP_SOIL_AVG"":true,""TEMP_SOIL_AVG_5CM"":true,""TEMP_SOIL_AVG_10CM"":true,""TEMP_SOIL_AVG_20CM"":true,""TEMP_SOIL_AVG_50CM"":true,""WIND_SPEED_10M"":false,""WIND_SPEED_AVG_30M"":true,""WIND_GUSTS_SPEED"":true,""HUMIDITY_REL_SHELTER_AVG"":false,""PRESSURE"":true,""SUN_DURATION"":false,""SHORT_WAVE_FROM_SKY_AVG"":false,""SUN_INT_AVG"":false}}"
aws_1day.fid--2b7d03cc_194e163ff4d_-21d1,POINT (50.797 4.358),6447,2021-11-25T00:00:00,0.38,3.97,7.34,1.68,2.29,3.8,4.36,5.04,6.05,7.98,,1.5,4.49,99.14,1000.07,,15.84,,"{""validated"":{""PRECIP_QUANTITY"":true,""TEMP_AVG"":true,""TEMP_MAX"":true,""TEMP_MIN"":true,""TEMP_GRASS_PT100_AVG"":true,""TEMP_SOIL_AVG"":true,""TEMP_SOIL_AVG_5CM"":true,""TEMP_SOIL_AVG_10CM"":true,""TEMP_SOIL_AVG_20CM"":true,""TEMP_SOIL_AVG_50CM"":true,""WIND_SPEED_10M"":false,""WIND_SPEED_AVG_30M"":true,""WIND_GUSTS_SPEED"":true,""HUMIDITY_REL_SHELTER_AVG"":false,""PRESSURE"":true,""SUN_DURATION"":false,""SHORT_WAVE_FROM_SKY_AVG"":false,""SUN_INT_AVG"":false}}"
